Open_Time,Open_Price,Close_Time,Close_Price,Side,Symbol,Volume,Profit
10/4/23 5:26,32929.06,10/4/23 5:29 AM,32931.93,Buy,US30x,0.30,8.61
10/4/23 10:10,32874.92,10/4/23 10:11 AM,32876.67,Buy,US30x,0.30,5.25
10/4/23 10:26,32881.32,10/4/23 10:46 AM,32947.07,Buy,US30x,0.30,197.25
10/5/23 9:37,33066.07,10/5/23 10:55 AM,33039.92,Sell,US30x,0.20,52.30
10/5/23 11:04,33076.07,10/5/23 11:07 AM,33074.62,Sell,US30x,0.20,2.90
10/5/23 11:10,33082.92,10/5/23 11:58 AM,33017.67,Buy,US30x,0.20,-130.50
10/5/23 11:12,33082.32,10/5/23 11:58 AM,33017.67,Buy,US30x,0.20,-129.30
10/5/23 11:58,33020.17,10/5/23 2:41 PM,33087.92,Sell,US30x,0.20,-135.50
10/5/23 11:59,33020.07,10/5/23 2:41 PM,33087.92,Sell,US30x,0.20,-135.70
10/5/23 12:00,33012.57,10/5/23 12:04 PM,33009.92,Sell,US30x,0.20,5.30
10/5/23 12:00,33011.07,10/5/23 12:04 PM,33009.92,Sell,US30x,0.20,2.30
10/5/23 14:54,33085.57,10/5/23 3:30 PM,33082.32,Sell,US30x,1.00,32.50
10/5/23 14:59,33093.07,10/5/23 3:30 PM,33080.32,Sell,US30x,1.00,127.50
10/5/23 15:06,33123.07,10/5/23 3:30 PM,33082.32,Sell,US30x,1.00,407.50
10/5/23 15:30,33064.88,10/5/23 3:31 PM,33064.32,Sell,US30x,1.00,5.60
10/5/23 15:32,33059.32,10/5/23 3:34 PM,33032.57,Buy,US30x,1.00,-267.50
10/5/23 15:34,33032.07,10/5/23 3:38 PM,33016.92,Sell,US30x,1.00,151.50
10/5/23 15:34,33028.07,10/5/23 3:39 PM,33022.32,Sell,US30x,1.00,57.50
10/5/23 15:41,33010.92,10/5/23 3:53 PM,33027.00,Buy,US30x,1.00,160.80
10/5/23 15:44,33003.32,10/5/23 4:36 PM,33148.34,Buy,US30x,1.00,1450.20
10/5/23 16:55,33084.29,10/5/23 5:05 PM,33043.12,Buy,US30x,1.00,-411.70
10/5/23 17:04,33075.35,10/5/23 5:05 PM,33037.80,Buy,US30x,0.50,-187.75
10/5/23 17:06,33051.77,10/5/23 5:07 PM,33026.77,Buy,US30x,0.50,-125.00
10/5/23 17:06,33052.75,10/5/23 5:07 PM,33023.11,Buy,US30x,0.50,-148.20
10/5/23 17:06,33053.32,10/5/23 5:07 PM,33024.86,Buy,US30x,0.50,-142.30
10/5/23 17:09,33032.75,10/5/23 5:27 PM,33110.69,Buy,US30x,0.50,389.70
10/5/23 17:09,33033.32,10/5/23 5:27 PM,33112.44,Buy,US30x,0.50,395.60
10/5/23 17:09,33043.77,10/5/23 5:15 PM,33063.82,Buy,US30x,0.50,100.25
10/5/23 17:11,33039.77,10/5/23 5:15 PM,33066.69,Buy,US30x,0.50,134.60
10/5/23 17:16,33056.37,10/5/23 5:19 PM,33097.14,Buy,US30x,0.50,203.85
10/5/23 17:18,33086.55,10/5/23 5:19 PM,33096.89,Buy,US30x,0.50,51.70
10/5/23 17:22,33095.55,10/5/23 5:27 PM,33103.66,Buy,US30x,0.50,40.55
10/5/23 17:24,33074.83,10/5/23 5:27 PM,33115.68,Buy,US30x,0.50,204.25
10/9/23 12:14,33270.95,10/9/23 12:26 PM,33305.92,Sell,US30x,0.25,-87.43
10/9/23 12:26,33305.92,10/9/23 6:58 PM,33423.76,Buy,US30x,0.50,589.20
10/9/23 19:13,33437.18,10/9/23 8:43 PM,33564.04,Sell,US30x,0.40,-507.44
10/9/23 19:23,33461.60,10/9/23 8:43 PM,33564.04,Sell,US30x,0.10,-102.44
10/10/23 5:59,33651.07,10/10/23 8:43 AM,33643.92,Sell,US30x,0.50,35.75
10/10/23 8:45,33636.93,10/10/23 10:21 AM,33681.82,Sell,US30x,0.50,-224.45
10/10/23 10:27,33649.07,10/10/23 11:25 AM,33696.32,Sell,US30x,0.50,-236.25
10/11/23 2:58,33759.06,10/11/23 10:05 AM,33761.07,Buy,US30x,1.00,20.10
10/11/23 4:29,33749.06,10/11/23 12:45 PM,33820.57,Buy,US30x,1.00,715.10
10/11/23 10:58,33756.92,10/11/23 12:45 PM,33819.57,Buy,US30x,1.00,626.50
10/11/23 10:59,33761.92,10/11/23 11:06 AM,33771.07,Buy,US30x,1.00,91.50
10/11/23 14:44,33842.17,10/11/23 3:30 PM,33805.72,Sell,US30x,1.00,364.50
10/11/23 15:39,33822.07,10/11/23 7:23 PM,33673.15,Sell,US30x,0.40,595.68
10/11/23 15:53,33850.07,10/11/23 7:23 PM,33673.67,Sell,US30x,0.40,705.60
10/13/23 16:11,33744.62,10/13/23 4:34 PM,33838.99,Sell,US30x,0.47,-443.54
10/13/23 19:31,33742.63,10/13/23 7:31 PM,33744.88,Sell,US30x,0.47,-10.58
10/13/23 19:33,33768.35,10/13/23 7:39 PM,33739.83,Sell,US30x,0.10,28.52
